name, attribute
const1,chordOfMainFoil
,spanOfMainFoil
,areaOfMainFoil
const2,areaOfMainFoil
,attackAngleOfMainFoil
,liftForceOfMainFoil
const3,areaOfMainFoil
,attackAngleOfMainFoil
,leadingEdgeRadiusOfMainFoil
,dragResistanceOfMainFoil
const4,thicknessOfMainFoil
,leadingEdgeRadiusOfMainFoil
,dragResistanceOfMainFoil
const5,waveResitanceOfMainStrut
,thicknessOfMainStrut
,leadingEdgeRadiusOfMainStrut
const6,strengthOfMainStrut
,lengthOfMainStrut
,thicknessOfMainStrut
const7,areaOfFrontFoil
,chordOfFrontFoil
,spanOfFrontFoil
const8,liftForceOfFrontFoil
,attackAngleOfOfFrontFoil
,areaOfFrontFoil
const9,dragResistanceOfFrontFoil
,areaOfFrontFoil
,attackAngleOfOfFrontFoil
,leadingEdgeRadiusOfFrontFoil
const10,dragResistanceOfFrontFoil
,thicknessOfFrontFoil
,dragResistanceOfFrontFoil
const11,waveResitanceOfFrontStrut
,thicknessOfFrontStrut
,leadingEdgeRadiusOfFrontSturt
const12,strengthOfFrontStrut
,lengthOfFrontStrut
,thicknessOfFrontStrut
const13,lengthOfFrontStrut
,lengthOfRudder
const14,areaOfRudder
,lengthOfRudder
const15,weightOfMainHull
,beamOfMainHull
,depthOfMainHull
,LOAOfMainHull
const16,wateredSurfaceAreaOfMainHull
,beamOfMainHull
,depthOfMainHull
,LOAOfMainHull
,weightOfSolarBoat
const17,frictionalResistanceOfMainHull
,wateredSurfaceAreaOfMainHull
const18,sizeOfMotorRoom
,beamOfMainHull
,depthOfMainHull
const19,deckArea
,widthBetweenSideHulls
,lengthOfSideHull
const20,weightOfSideHulls
,lengthOfSideHull
const21,weightOfSolarPanels
,widthOfAPanel
,lengthOfPanel
const22,panelArea
,widthOfAPanel
,lengthOfPanel
const23,deckArea
,panelArea
const24,panelArea
,powerGeneratingEfficiency
,outputVoltageOfSolarPanels
const25,outputVoltageOfSolarPanels
,operatingVoltageRangeOfMPPT
const26,operatingVoltageRangeOfMPPT
,maximumEfficiencyOfMPPT
,nominalOutputVolatgeOfMPPT
const27,nominalOutputVolatgeOfMPPT
,nominalInputVoltageOfMotor
const28,powerOfMotor
,nominalInputVoltageOfMotor
,maximumEfficiencyOfDCMotor
const29,outputPower
,powerOfMotor
,gearRatio
const30,outputPower
,deliveredPower
const31,efficiencyOfPropeller
,pitchOfPropeller
,diameterOfPropeller
const32,deliveredPower
,thurstPower
,efficiencyOfPropeller
const33,weightOfSolarBoat
,weightOfMainHull
,weightOfSideHulls
,weightOfSolarPanels
,weightOfDCMotor
,weightOfGearBox
const34,weightOfSolarBoat
,requiredBuoyancy
,surfaceAreaOfMainHull
const35,requiredTorqueForRudder
,thurstPower
const36,weightOfSolarBoat
,liftForceOfMainFoil
,liftForceOfFrontFoil
const37,crusingSpeed
,frictionalResistanceOfMainHull
,thurstPower
const38,foilingSpeed
,thurstPower
,waveResitanceOfFrontStrut
,waveResitanceOfMainStrut
,dragResistanceOfMainFoil
,dragResistanceOfFrontFoil
const39,sizeOfMotorRoom
,sizeOfMPPT
,sizeOfDCMotor
,gearBoxSize
const40,thicknessOfDriveShaft
,thicknessOfDriveShaft
const41,torqueOfServo
,requiredTorqueForRudder
const42,radiusOfTurn
,foilingSpeed
,angleOfRudder
const42,angleOfRudder
,areaOfRudder
,torqueOfServo